"1	F/ND/18/3280010	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"2	F/ND/18/3280012	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"3	F/ND/18/3280013	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"4	F/ND/18/3280014	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"5	F/ND/18/3280015	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"6	F/ND/18/3280016	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"7	F/ND/18/3280026	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"8	F/ND/18/3280028	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"9	F/ND/18/3280029	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"10	F/ND/18/3280030	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"11	F/ND/18/3280031	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"12	F/ND/18/3280003	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"13	F/ND/18/3280004	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"14	F/ND/18/3280005	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"15	F/ND/18/3280007	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"16	F/ND/18/3280008	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"17	F/ND/18/3280019	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"18	F/ND/18/3280022	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"19	F/ND/18/3280023	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"20	F/ND/18/3280033	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"21	F/ND/18/3280034	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"22	F/ND/18/3280035	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"23	F/ND/18/3280036	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"24	F/ND/18/3280018	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"25	F/ND/18/3280024	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"26	F/ND/18/3280025	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
"27	F/ND/18/3280037	ND (NUTRITION AND DIETETICS) FULL TIME	NULL"
